encounter_id,miss_distance_m,pc,lead_time_nocoop_min,lead_time_cooperative_min,lead_time_gain_min
ENC-53780-53789-312240,902.7,0.0001567903227852596,1275.0,4320.0,3045.0
ENC-68175-68240-445080,903.8,0.0001561779698369189,1274.0,4320.0,3046.0
ENC-56508-67515-384090,906.5,0.00015466847844534154,1272.0,4320.0,3048.0
ENC-58038-59769-545250,913.2,0.000150906671052428,1266.0,4320.0,3054.0
ENC-63680-63995-340200,913.7,0.0001506549924150439,1266.0,4320.0,3054.0
ENC-65099-66888-356520,914.8,0.00015005053079048683,1265.0,4320.0,3055.0
ENC-59660-66505-384090,918.3,0.0001481412349515261,1262.0,4320.0,3058.0
ENC-66884-66887-547650,921.5,0.00014638049245310376,1259.0,4320.0,3061.0
ENC-62569-67512-434100,922.0,0.000146141788885509,1258.0,4320.0,3062.0
ENC-63857-64140-391980,925.3,0.00014437004762913084,1255.0,4320.0,3065.0
ENC-47840-48127-566850,926.2,0.0001438618500725913,1254.0,4320.0,3066.0
ENC-64498-66099-265680,927.2,0.00014335253009095856,1254.0,4320.0,3066.0
ENC-59505-63586-464970,928.2,0.0001428027077600313,1253.0,4320.0,3067.0
ENC-66490-66497-384930,932.1,0.0001407605798063642,1249.0,4320.0,3071.0
ENC-67986-68001-536490,932.2,0.000140702216890159,1249.0,4320.0,3071.0
ENC-49754-68817-521220,935.2,0.0001391124944240215,1246.0,4320.0,3074.0
ENC-53608-53707-573360,936.9,0.0001382672370816533,1245.0,4320.0,3075.0
ENC-46064-53037-414270,937.6,0.0001378870399077805,1244.0,4320.0,3076.0
ENC-62042-62049-430860,940.5,0.00013638991543470883,1241.0,4320.0,3079.0
ENC-54821-62288-273780,941.9,0.0001356637907678738,1240.0,4320.0,3080.0
ENC-69355-69374-575730,943.6,0.0001348206151785331,1238.0,4320.0,3082.0
ENC-65698-69245-401370,945.3,0.00013393807751992275,1237.0,4320.0,3083.0
ENC-63407-63416-466140,947.4,0.0001328765136318911,1234.0,4320.0,3086.0
ENC-63575-63592-569400,948.0,0.00013257266878941086,1234.0,4320.0,3086.0
ENC-56703-66436-600780,949.2,0.00013200471555370826,1233.0,4320.0,3087.0
ENC-57442-59359-487590,954.9,0.00012915134321032538,1227.0,4320.0,3093.0
ENC-57407-63096-425430,957.3,0.00012794219493935714,1225.0,4320.0,3095.0
ENC-63037-63046-357990,958.5,0.00012738864436260226,1224.0,4320.0,3096.0
ENC-57084-59171-505920,958.9,0.00012718449315443284,1223.0,4320.0,3097.0
ENC-66491-66508-259650,960.2,0.00012652878476620427,1222.0,4320.0,3098.0
ENC-64181-64780-292140,960.3,0.00012652397916579274,1222.0,4320.0,3098.0
ENC-67408-67429-359820,960.4,0.00012643945672924278,1222.0,4320.0,3098.0
ENC-56412-67951-407310,962.8,0.00012529960875574026,1219.0,4320.0,3101.0
ENC-53750-64473-560190,962.8,0.0001252877647521117,1219.0,4320.0,3101.0
ENC-53544-61701-312690,965.6,0.0001239499000238251,1216.0,4320.0,3104.0
ENC-58437-63412-291030,968.0,0.00012282364884391722,1214.0,4320.0,3106.0
ENC-52344-64485-524340,969.2,0.00012224782941895168,1213.0,4320.0,3107.0
ENC-60023-65752-293610,970.1,0.00012179384590818756,1212.0,4320.0,3108.0
ENC-55601-63650-579300,971.2,0.00012130074637418158,1211.0,4320.0,3109.0
ENC-63859-63862-582450,971.9,0.00012097668938704867,1210.0,4320.0,3110.0
ENC-66582-66869-347310,973.1,0.00012037924021176348,1209.0,4320.0,3111.0
ENC-56126-58509-365730,973.5,0.00012018544319472533,1208.0,4320.0,3112.0
